datetime,high,low,average,volume
2011-04-14 00:00:00,,,0.95,31111.88
2011-04-15 00:00:00,,,1,50304.61
2011-04-16 00:00:00,,,1.04,28869.3
2011-04-17 00:00:00,,,1.08,24225.7
2011-04-18 00:00:00,,,1.15,27478.69
2011-04-19 00:00:00,,,1.18,12556.73
2011-04-20 00:00:00,,,1.16,21344.95
2011-04-21 00:00:00,,,1.18,39295.69
2011-04-22 00:00:00,,,1.29,39415.39
2011-04-23 00:00:00,,,1.55,66620.36
2011-04-24 00:00:00,,,1.67,21541.69
2011-04-25 00:00:00,,,1.58,13471.6
2011-04-26 00:00:00,,,1.67,24054.31
2011-04-27 00:00:00,,,1.89,33055.26
2011-04-28 00:00:00,,,2.03,100238.23
2011-04-29 00:00:00,,,2.59,57577.32
2011-04-30 00:00:00,,,3.29,65427.8
2011-05-01 00:00:00,,,3.14,45772.07
2011-05-02 00:00:00,,,3.24,18333.83
2011-05-03 00:00:00,,,3.32,16919.18
2011-05-04 00:00:00,,,3.44,17278.29
2011-05-05 00:00:00,,,3.41,15350.34
2011-05-06 00:00:00,,,3.48,23014.7
2011-05-07 00:00:00,,,3.61,17833.29
2011-05-08 00:00:00,,,3.77,21132.51
2011-05-09 00:00:00,,,3.8,11520.93
2011-05-10 00:00:00,,,4.74,56217.32
2011-05-11 00:00:00,,,5.35,52569.15
2011-05-12 00:00:00,,,5.83,31722.46
2011-05-13 00:00:00,,,7.48,64003.37
2011-05-14 00:00:00,,,7.86,55390.45
2011-05-15 00:00:00,,,6.74,18294.87
2011-05-16 00:00:00,,,7.77,44141.41
2011-05-17 00:00:00,,,7.52,35345.46
2011-05-18 00:00:00,,,7.14,25403.44
2011-05-19 00:00:00,,,6.96,24436.41
2011-05-20 00:00:00,,,6.28,44460.44
2011-05-21 00:00:00,,,5.97,31111.9
2011-05-22 00:00:00,,,6.47,23872.15
2011-05-23 00:00:00,,,7.1,35279.88
2011-05-24 00:00:00,,,7.23,29282.48
2011-05-25 00:00:00,,,7.98,64049.94
2011-05-26 00:00:00,,,8.55,28644.99
2011-05-27 00:00:00,,,8.67,14431.84
2011-05-28 00:00:00,,,8.45,12247.72
2011-05-29 00:00:00,,,8.3,7487.54
2011-05-30 00:00:00,,,8.72,17680.15
2011-05-31 00:00:00,,,8.88,45794.43
2011-06-01 00:00:00,,,9.21,43479.96
2011-06-02 00:00:00,,,10.11,41047.27
2011-06-03 00:00:00,,,13.08,72980.24
2011-06-04 00:00:00,,,16.41,44475.34
2011-06-05 00:00:00,,,17.32,24278.97
2011-06-06 00:00:00,,,18.46,55092.47
2011-06-07 00:00:00,,,19.9,53715.04
2011-06-08 00:00:00,,,27.25,104925.16
2011-06-09 00:00:00,,,29.58,62933.66
2011-06-10 00:00:00,,,24.67,92208.2
2011-06-11 00:00:00,,,17.61,121869.97
2011-06-12 00:00:00,,,16.21,151194.16
2011-06-13 00:00:00,,,20.11,73421.79
2011-06-14 00:00:00,,,19.25,36155.99
2011-06-15 00:00:00,,,19.68,27711.9
2011-06-16 00:00:00,,,18.86,49202.14
2011-06-17 00:00:00,,,15.51,108623.77
2011-06-18 00:00:00,,,16.04,35536.55
2011-06-19 00:00:00,,,17.77,30176.74
2011-06-26 00:00:00,,,15.59,15053.93
2011-06-27 00:00:00,,,17.01,31452.54
2011-06-28 00:00:00,,,16.93,24398.15
2011-06-29 00:00:00,,,16.88,21043.37
2011-06-30 00:00:00,,,16.51,34961.19
2011-07-01 00:00:00,,,15.9,33284.45
2011-07-02 00:00:00,,,15.53,19453.24
2011-07-03 00:00:00,,,15.48,16792.29
2011-07-04 00:00:00,,,14.48,52276.99
2011-07-05 00:00:00,,,12.8,84081.15
2011-07-06 00:00:00,,,14.8,111818.32
2011-07-07 00:00:00,,,15.16,54465.7
2011-07-08 00:00:00,,,14.35,34853.42
2011-07-09 00:00:00,,,14.39,11909.17
2011-07-10 00:00:00,,,15.08,45284.42
2011-07-11 00:00:00,,,14.37,49160.01
2011-07-12 00:00:00,,,14.15,26356.51
2011-07-13 00:00:00,,,14.03,10338.15
2011-07-14 00:00:00,,,13.93,17661.16
2011-07-15 00:00:00,,,13.9,24819.54
2011-07-16 00:00:00,,,13.62,17264.49
2011-07-17 00:00:00,,,13.34,34375.47
2011-07-18 00:00:00,,,13.03,75896.31
2011-07-19 00:00:00,,,14.04,67575.61
2011-07-20 00:00:00,,,13.69,23177.9
2011-07-21 00:00:00,,,13.66,25018.37
2011-07-22 00:00:00,,,13.65,15165.62
2011-07-23 00:00:00,,,13.64,22455.6
2011-07-24 00:00:00,,,13.86,26623.26
2011-07-25 00:00:00,,,14.2,31577.96
2011-07-26 00:00:00,,,13.91,16793.86
2011-07-27 00:00:00,,,13.96,11508.66
2011-07-28 00:00:00,,,13.61,32738.27
2011-07-29 00:00:00,,,13.51,7257.51
2011-07-30 00:00:00,,,13.53,6104.38
2011-07-31 00:00:00,,,13.52,45723.44
2011-08-01 00:00:00,,,13.17,21748.09
2011-08-02 00:00:00,,,12.39,57242.69
2011-08-03 00:00:00,,,10.45,90287.33
2011-08-04 00:00:00,,,10.58,50094.1
2011-08-05 00:00:00,,,10.27,30765.69
2011-08-06 00:00:00,,,7.82,102411.73
2011-08-07 00:00:00,,,7.72,89830.96
2011-08-08 00:00:00,,,7.74,34042.22
2011-08-09 00:00:00,,,9.72,114472.78
2011-08-10 00:00:00,,,10,24254.45
2011-08-11 00:00:00,,,9.47,58114.56
2011-08-12 00:00:00,,,9.32,41592.12
2011-08-13 00:00:00,,,9.8,29759.76
2011-08-14 00:00:00,,,10.61,44142.85
2011-08-15 00:00:00,,,11.3,38183.53
2011-08-16 00:00:00,,,11.05,15334.63
2011-08-17 00:00:00,,,10.88,22939.98
2011-08-18 00:00:00,,,10.9,8222.8
2011-08-19 00:00:00,,,11.4,33765.21
2011-08-20 00:00:00,,,11.49,9940.27
2011-08-21 00:00:00,,,11.38,8787.2
2011-08-22 00:00:00,,,11.03,37055.32
2011-08-23 00:00:00,,,11.03,12797.1
2011-08-24 00:00:00,,,10.94,7852.55
2011-08-25 00:00:00,,,10.01,55547.42
2011-08-26 00:00:00,,,8.65,83026.56
2011-08-27 00:00:00,,,8.63,22010.04
2011-08-28 00:00:00,,,8.97,24159.85
2011-08-29 00:00:00,,,8.93,21685.29
2011-08-30 00:00:00,,,8.78,11810.88
2011-08-31 00:00:00,,,8.35,19683.08
2011-09-01 00:00:00,,,8.22,11912.68
2011-09-02 00:00:00,,,8.44,16836.29
2011-09-03 00:00:00,,,8.53,6975.23
2011-09-04 00:00:00,,,8.17,19719.6
2011-09-05 00:00:00,,,7.62,30846.84
2011-09-06 00:00:00,,,6.73,82558.56
2011-09-07 00:00:00,,,7.03,49687.4
2011-09-08 00:00:00,,,6.8,31944.44
2011-09-09 00:00:00,,,5.31,217540.23
2011-09-10 00:00:00,,,5.03,44639.39
2011-09-11 00:00:00,,,6.06,145150.7
2011-09-12 00:00:00,,,6.04,64182.61
2011-09-13 00:00:00,,,5.79,26147.95
2011-09-14 00:00:00,,,5.55,45360.18
2011-09-15 00:00:00,,,4.97,88688.37
2011-09-16 00:00:00,,,4.81,32338.46
2011-09-17 00:00:00,,,4.77,23095.8
2011-09-18 00:00:00,,,5.11,47284.85
2011-09-19 00:00:00,,,5.26,52915.08
2011-09-20 00:00:00,,,6.1,120257.28
2011-09-21 00:00:00,,,5.62,71983.35
2011-09-22 00:00:00,,,5.49,35211.01
2011-09-23 00:00:00,,,5.59,57873.1
2011-09-24 00:00:00,,,5.41,20257.37
2011-09-25 00:00:00,,,5.32,12219.25
