Month,Day,Year,Price,totalCirculation,totalTransactionFees,numberOfUniqueBitcoinAddressesUsed,totalOutputVolumeValue,averageNumberOfTransactionsPerBlock
7,22,2009,0,999750,0,69,3450,1
7,23,2009,0,1003050,0,66,3300,1
7,24,2009,0,1006800,0,75,3750,1
7,25,2009,0,1009450,0,53,2650,1
7,26,2009,0,1010100,0,13,650,1
7,27,2009,0,1013300,0,64,3200,1
7,28,2009,0,1015500,0,44,2200,1
7,29,2009,0,1017100,0,32,1600,1
7,30,2009,0,1017800,0,17,850,1
7,31,2009,0,1018400,0,12,600,1
8,1,2009,0,1019550,0,23,1150,1
8,2,2009,0,1021050,0,30,1500,1
8,3,2009,0,1021800,0,15,750,1
8,4,2009,0,1024700,0,58,2900,1
8,5,2009,0,1029250,0,91,4550,1
8,6,2009,0,1034050,0,96,4800,1
8,7,2009,0,1037750,0,74,3700,1
8,8,2009,0,1041850,0.13,84,9649.53,1
8,9,2009,0,1046750,0,98,4900,1
8,10,2009,0,1050850,0,82,4100,1
8,11,2009,0,1054200,0,67,3350,1
8,12,2009,0,1057600,0,68,3400,1
8,13,2009,0,1061650,0,81,4050,1
8,14,2009,0,1064900,0,65,3250,1
8,15,2009,0,1066600,0,34,1700,1
8,16,2009,0,1067850,0,25,1250,1
8,17,2009,0,1068700,0,17,850,1
8,18,2009,0,1069150,0,9,450,1
8,19,2009,0,1069900,0,15,750,1
8,20,2009,0,1071100,0,24,1200,1
8,21,2009,0,1071900,0,16,800,1
8,22,2009,0,1072300,0,8,400,1
8,23,2009,0,1072900,0,12,600,1
8,24,2009,0,1073300,0,8,400,1
8,25,2009,0,1076050,0,55,2750,1
8,26,2009,0,1078150,0,42,2100,1
8,27,2009,0,1079650,0,34,3848.06,1
8,28,2009,0,1082850,0,64,3200,1
8,29,2009,0,1087000,0,83,4150,1
8,30,2009,0,1091500,0,91,4550,1
8,31,2009,0,1096200,0,95,5000,1
9,1,2009,0,1100150,0,79,3950,1
9,2,2009,0,1103550,0,68,3400,1
9,3,2009,0,1106550,0,61,3700,1
9,4,2009,0,1109700,0,63,3150,1
9,5,2009,0,1113250,0,71,3550,1
9,6,2009,0,1116850,0,72,3600,1
9,7,2009,0,1120750,0,79,4550,1
9,8,2009,0,1124050,0,66,3300,1
9,9,2009,0,1126950,0,58,2900,1
9,10,2009,0,1130000,0,61,3050,1
9,11,2009,0,1133400,0,68,3400,1
9,12,2009,0,1136950,0,71,3550,1
9,13,2009,0,1140450,0,70,3500,1
9,14,2009,0,1144500,0,81,4050,1
9,15,2009,0,1147300,0,56,2800,1
9,16,2009,0,1150200,0,59,2901,1
9,17,2009,0,1154350,0.12,85,9200,1
9,18,2009,0,1158400,0,81,4050,1
9,19,2009,0,1161950,0,71,3550,1
9,20,2009,0,1165900,0,79,3950,1
9,21,2009,0,1169600,0,74,3700,1
9,22,2009,0,1171300,0,35,2100,1
9,23,2009,0,1172650,0,28,3350,1
9,24,2009,0,1176750,0,82,4100,1
9,25,2009,0,1181750,0,102,6300,1
9,26,2009,0,1186450,0,94,4700,1
9,27,2009,0,1190900,0,90,5250,1
9,28,2009,0,1195300,0,88,4400,1
9,29,2009,0,1199450,0,85,6300,1
9,30,2009,0,1203800,0,87,4350,1
10,1,2009,0,1208050,0,85,4250,1
10,2,2009,0,1211800,0,76,4250,1
10,3,2009,0,1214700,0,58,2900,1
10,4,2009,0,1217750,0,61,3050,1
10,5,2009,0,1220650,0,58,2900,1
10,6,2009,0,1222700,0,42,2950,1
10,7,2009,0,1225250,0,51,2550,1
10,8,2009,0,1228750,0,70,3500,1
10,9,2009,0,1232650,0,78,3900,1
10,10,2009,0,1236500,0,77,3850,1
10,11,2009,0,1240450,0,79,3950,1
10,12,2009,0,1243550,0,63,8150,1
10,13,2009,0,1246100,0,51,2550,1
10,14,2009,0,1248900,0,56,2800,1
10,15,2009,0,1253150,0,85,4250,1
10,16,2009,0,1256400,0,66,12950,1
10,17,2009,0,1259150,0,55,2750,1
10,18,2009,0,1262350,0,65,3550,1
10,19,2009,0,1267300,0,99,4950,1
10,20,2009,0,1272850,0,111,5550,1
10,21,2009,0,1277000,0.12,85,9199.88,1
10,22,2009,0,1281300,0,88,17149.76,1
10,23,2009,0,1285650,0,87,4350,1
10,24,2009,0,1289400,0,75,3750,1
10,25,2009,0,1293050,0,74,15900,1
10,26,2009,0,1296300,0,65,3250,1
10,27,2009,0,1299600,0,67,16300,1
10,28,2009,0,1302800,0,64,3200,1
10,29,2009,0,1305300,0,51,3000,1
10,30,2009,0,1308350,0,62,4600,1
10,31,2009,0,1310600,0,45,2250,1
11,1,2009,0,1312100,0,30,1500,1
11,2,2009,0,1313750,0,33,1650,1
11,3,2009,0,1316600,0,57,2850,1
11,4,2009,0,1319700,0,62,3100,1
11,5,2009,0,1322900,0,65,18700,1
11,6,2009,0,1325350,0,49,2450,1
11,7,2009,0,1329150,0,76,3800,1
11,8,2009,0,1332650,0,70,3500,1
11,9,2009,0,1335900,0,65,3250,1
11,10,2009,0,1339450,0,71,3550,1
11,11,2009,0,1342900,0,71,93450,1
11,12,2009,0,1346400,0,70,3500,1
11,13,2009,0,1349900,0,73,4100,1
11,14,2009,0,1354050,0,83,4150,1
11,15,2009,0,1358850,0,96,4800,1
11,16,2009,0,1363850,0,100,5000,1
11,17,2009,0,1368400,0,91,4550,1
11,18,2009,0,1372350,0,79,3950,1
11,19,2009,0,1376000,0,73,3650,1
11,20,2009,0,1380100,0,84,48450,1
11,21,2009,0,1383950,0,77,3850,1
11,22,2009,0,1388950,0,100,5000,1
11,23,2009,0,1393750,0,96,4800,1
11,24,2009,0,1398850,0,102,5100,1
11,25,2009,0,1403100,0,85,4250,1
11,26,2009,0,1407000,0,78,3900,1
11,27,2009,0,1410750,0,75,3750,1
11,28,2009,0,1414650,0,78,3900,1
11,29,2009,0,1417550,0,58,2900,1
11,30,2009,0,1421250,0,74,3700,1
12,1,2009,0,1424550,0,66,3300,1
12,2,2009,0,1429450,0.22,100,14950,1
12,3,2009,0,1433700,0,85,4250,1
12,4,2009,0,1436150,0,49,2450,1
12,5,2009,0,1438750,0,52,2600,1
12,6,2009,0,1444000,0,109,6290,1
12,7,2009,0,1448700,0,94,4700,1
12,8,2009,0,1454650,0,120,7450,1
12,9,2009,0,1459350,0,104,6985,1
12,10,2009,0,1464500,0,108,5220,1
12,11,2009,0,1470750,0,125,6250,1
12,12,2009,0,1475800,0,102,10250,1
12,13,2009,0,1481000,0,104,5200,1
12,14,2009,0,1486400,0,114,37945.7,1
12,15,2009,0,1492200,0,117,11250,1
12,16,2009,0,1498150,0,122,6809,1
12,17,2009,0,1506200,0,164,8300,1
12,18,2009,0,1516200,0,202,10049.5,1
12,19,2009,0,1527400,0,225,11250,1
12,20,2009,0,1536150,0,175,8750,1
12,21,2009,0,1545500,0,188,9400,1
12,22,2009,0,1553100,0,152,7600,1
12,23,2009,0,1561550,0,169,8450,1
12,24,2009,0,1568750,0,144,7200,1
12,25,2009,0,1576600,0,159,7900,1
12,26,2009,0,1584550,0,159,7950,1
12,27,2009,0,1593000,0,170,8700,1
12,28,2009,0,1599900,0,138,6900,1
12,29,2009,0,1608100,0,164,8200,1
12,30,2009,0,1615900,0,156,7800,1
12,31,2009,0,1623400,0,150,7500,1
1,1,2010,0,1629350,0,119,5950,1
1,2,2010,0,1635850,0,132,6600,1
1,3,2010,0,1644000,0,163,8150,1
1,4,2010,0,1653500,0,193,30304.35,1
1,5,2010,0,1663900,0,208,10400,1
1,6,2010,0,1671800,0,158,7900,1
1,7,2010,0,1679750,0,159,7950,1
1,8,2010,0,1687250,0,150,7500,1
1,9,2010,0,1694650,0,148,7400,1
1,10,2010,0,1704200,0,191,9550,1
1,11,2010,0,1711900,0,154,7700,1
1,12,2010,0,1720200,0.26,169,19099.88,1
1,13,2010,0,1728100,0,162,7958,1
1,14,2010,0,1736000,0,160,7905,1
1,15,2010,0,1742800,0,137,7200,1
1,16,2010,0,1749500,0,135,6900.74,1
1,17,2010,0,1755650,0,124,6401,1
1,18,2010,0,1762150,0,130,6500,1
1,19,2010,0,1768100,0,121,6000,1
1,20,2010,0,1775100,0,140,7000,1
1,21,2010,0,1784000,0,186,9588.29,1
1,22,2010,0,1791500,0,151,7700,1
1,23,2010,0,1799050,0,153,7600,1
1,24,2010,0,1806300,0,148,7351,1
1,25,2010,0,1816450,0,207,13450,1
1,26,2010,0,1826550,0,208,10973,1
1,27,2010,0,1835400,0,178,9050,1
1,28,2010,0,1844050,0,174,10500,1
1,29,2010,0,1853700,0,195,10200,1
1,30,2010,0,1862700,0,181,9800,1
1,31,2010,0,1873000,0,210,11950,1
2,1,2010,0,1881950,0,188,12300,1
2,2,2010,0,1889050,0,142,7100,1
2,3,2010,0,1901200,0,244,13500,1
2,4,2010,0,1912750,0,236,11999.99,1
2,5,2010,0,1925000,0,250,26099,1
2,6,2010,0,1934550,0,193,10850,1
2,7,2010,0,1944900,0,212,11249,1
2,8,2010,0,1955450,0,221,17603,1
2,9,2010,0,1965900,0,211,10650,1
2,10,2010,0,1973850,0.44,165,59000,1
2,11,2010,0,1982750,0,180,9700,1
2,12,2010,0,1992100,0,194,18200,1
2,13,2010,0,2003300,0,226,13399,1
2,14,2010,0,2013600,0,214,35474.51,1
2,15,2010,0,2022850,0,194,12450,1
2,16,2010,0,2031600,0,185,10899.98,1
2,17,2010,0,2043200,0,241,65173.13,1
2,18,2010,0,2054650,0,234,18911.74,1
2,19,2010,0,2063600,0,185,9749.98,1
2,20,2010,0,2074700,0,224,11150.03,1
2,21,2010,0,2085400,0,218,12266.83,1
2,22,2010,0,2098150,0,262,32350,1
2,23,2010,0,2110700,0,252,12600,1
2,24,2010,0,2120200,0,195,14800,1
2,25,2010,0,2127600,0,150,8100,1
2,26,2010,0,2136100,0,176,29349,1
2,27,2010,0,2144750,0,176,9101,1
2,28,2010,0,2152850,0,165,13399,1
3,1,2010,0,2162150,0,187,10300,1
3,2,2010,0,2171950,0,203,12400,1
3,3,2010,0,2179350,0,150,7650,1
3,4,2010,0,2188450,0,187,19400,1
